"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"4644799","ALTAIR","In Service/Commission","20080408","2008",15,130,"Det Norske Veritas 2008-04","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644804","ANTARES","In Service/Commission","20080701","2008",15,130,"Det Norske Veritas 2008-07","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644816","ARCTURUS","In Service/Commission","20081001","2008",15,130,"Det Norske Veritas 2008-10","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644828","ARGO","In Service/Commission","20090101","2009",15,130,"Det Norske Veritas 2009-01","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4644830","ASTREA","In Service/Commission","20090501","2009",15,130,"Det Norske Veritas 2009-04","Sweden","Training Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","12V2000M90","4","Oil",0,"Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","Sweden","Sweden","Sweden Govt","0351052","Sweden","Sweden","Sweden","SWD","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907921","C-402","In Service/Commission","20130305","2013",14,135,"Lloyd's Register 2013-03-05","India","Patrol Vessel",5050,0,6866,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Caterpillar","3516C-HD-DITA","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907971","C-407","In Service/Commission","20140512","2014",14,135,"Lloyd's Register 2014-05-12","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907983","C-408","In Service/Commission","20140512","2014",14,135,"Lloyd's Register 2014-05-12","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"4907995","L&T HAZIRA 35009","Launched","20140407","2015",14,135,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
"4908004","L&T HAZIRA 35010","Launched","20140407","2015",14,140,"Lloyd's Register (Contemplated) 2016-01-01","India","Patrol Vessel",5440,4624,7396,6286,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M90","4","Oil",0,"India Govt","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","India","India","India Govt Coast Guard","0921051","India","India","India","IND","  Unknown","9991001","","","","","","","","","",""
