"OWCODE","ShortCompanyName","CountryName","Telephone","Telex","Emailaddress","Website","FullName","NationalityofRegistration","NationalityofControl","LastChangeDate","CompanyStatus","FullAddress","Facsimile"
"0016363","P&O FERRIES LTD","United Kingdom","+44 1304 223000","965104","corporate@poferries.com","www.poferries.com","P&O Ferries Ltd ","United Kingdom","United Arab Emirates","20130930","","Channel House, Channel View Road, Dover, Kent, CT17 9TJ, United Kingdom.","+44 1304 863223"
"0017463","WALLEM SHIPMANAGEMENT LTD","Hong Kong, China","+852 2876 8200","74147nego","wsmhk@wallem.com","www.wallem.com","Wallem Shipmanagement Ltd (WSM) ","Hong Kong, China","Hong Kong, China","20130530","","12th Floor, Warwick House East, Taikoo Place, 979, Kings Road, Quarry Bay, Eastern, Hong Kong, China.","+852 2876 1234"
"0033503","THENAMARIS SHIPS MANAGEMENT","Greece","+30 210 890 9111","210468than","op@thenamaris.com","www.thenamaris.com","Thenamaris (Ships Management) Inc ","Liberia","Greece","20130404","","16, Athinas Avenue & Voreou Street, Vouliagmeni, 166 71 Athens, Greece.","+30 210 890 9653"
"0049282","PARADIP PORT TRUST","India","+91 67 2222 2017","0674211ppto","ppt@ori.nic.in","www.paradipport.gov.in","Paradip Port Trust ","India","India","20130109","","Paradip, 754142, India.","+91 67 2222 2047"
"0052882","SCI","India","+91 22 2202 6666","","ism.cell@sci.co.in","www.shipindia.com","The Shipping Corporation of India Ltd (SCI)","India","India","20130122","","Shipping House, 245, Madame Cama Road, Nariman Point, Mumbai, 400021, India.","+91 22 2202 6905"
"0069081","ELETSON CORP","Greece","+30 210 459 8300","213124","info@eletson.com","www.eletson.com","Eletson Corp ","Liberia","Greece","20140710","","118, Kolokotroni Street, 185 35 Piraeus, Greece.","+30 210 428 2320"
"0078283","MANTINIA SHIPPING CO SA","Greece","+30 210 429 5050","212260","info@mantinia-shipping.com","","Mantinia Shipping Co SA ","Panama","Greece","20130513","","51, Akti Miaouli, 185 36 Piraeus, Greece.","+30 210 429 5059"
"0081371","NEDA MARITIME AGENCY CO LTD","Greece","+30 210 103 0200","212556neda","technical@nedamaritime.gr","www.nedamaritime.gr","Neda Maritime Agency Co Ltd ","Liberia","Greece","20130121","","2, 2as Merarchias Street, 185 35 Piraeus, Greece.","+30 210 418 0751"
"0096090","ATLAS DD","Croatia","+385 20 442222","27515 ","call.centre@atlas.hr","www.atlas-croatia.com","Atlas dd ","Croatia","Croatia","20100510","","ul Vukovarska 19, HR-20000 Dubrovnik, Croatia.","+385 20 411100"
"0101856","NAVIGATION MARITIME BULGARE","Bulgaria","+359 52 683371","77351","diroffice@navbul.com","www.navbul.com","Navigation Maritime Bulgare ","Bulgaria","Bulgaria","20120702","","Navibulgar House, bul Primorski 1, 9000 Varna, Bulgaria.","+359 52 603154"
